ALOG,Analogic Corporation,71.7,895474851.3,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ALOT,"AstroNova, Inc.",14.15,106479400.9,n/a,n/a,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/alot
ALQA,"Alliqua BioMedical, Inc.",0.3886,17866271.27,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
ALRM,"Alarm.com Holdings, Inc.",32.24,1493324463,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",2.22,116197321.9,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
ALT,"Altimmune, Inc.",4.56,3137973.12,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alt
ALTY,Global X SuperDividend Alternatives ETF,15.46,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alty
ALXN,"Alexion Pharmaceuticals, Inc.",101.08,22698175265,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
AMAG,"AMAG Pharmaceuticals, Inc.",19.25,674623834.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMAT,"Applied Materials, Inc.",44.63,48192857664,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AMBA,"Ambarella, Inc.",64.35,2157742823,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMBC,"Ambac Financial Group, Inc.",17.11,773867249,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",7.66,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMCN,AirMedia Group Inc,1.89,82913704.65,43869685,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AMCX,AMC Networks Inc.,52.38,3488169520,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
AMD,"Advanced Micro Devices, Inc.",10.89,10291226135,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
AMDA,Amedica Corporation,0.37,13418005.97,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,59.09,1993003829,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
AMGN,Amgen Inc.,154.6,113692705189,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
AMKR,"Amkor Technology, Inc.",11.4,2724767876,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMMA,"Alliance MMA, Inc.",1.31,12319845.22,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma
AMNB,"American National Bankshares, Inc.",35.95,310562846.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
AMOT,"Allied Motion Technologies, Inc.",25.35,240099685.8,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
AMOV,"America Movil, S.A.B. de C.V.",16.1,52967390000,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AMPH,"Amphastar Pharmaceuticals, Inc.",15.5,708937248.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
AMRB,American River Bankshares,13.6497,88487715.52,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
AMRI,"Albany Molecular Research, Inc.",17.82,765044177,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
AMRK,"A-Mark Precious Metals, Inc.",15.67,110182821.5,n/a,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
AMRN,Amarin Corporation plc,3,787893549,262631183,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMRS,"Amyris, Inc.",0.2725,81399166.61,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
AMSC,American Superconductor Corporation,4.12,58586338.2,n/a,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMSF,"AMERISAFE, Inc.",51.85,997082499.8,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
AMSWA,"American Software, Inc.",10.65,313860601.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMTD,TD Ameritrade Holding Corporation,37.46,19781192631,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/amtd
AMTX,"Aemetis, Inc",1.35,26590203.45,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AMWD,American Woodmark Corporation,87.35,1417919794,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
AMZN,"Amazon.com, Inc.",980.35,468583280445,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
ANAB,"AnaptysBio, Inc.",26.42,535514192.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab
ANAT,American National Insurance Company,114.55,3084408238,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
ANCB,Anchor Bancorp,24.95,62493263,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/ancb
ANCX,Access National Corporation,28.47,578121414.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ANDA,Andina Acquisition Corp. II,10.17,54002700,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/anda
ANDAR,Andina Acquisition Corp. II,0.4499,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andar
ANDAU,Andina Acquisition Corp. II,10.84,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corp. II,0.2801,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andaw
ANDE,"The Andersons, Inc.",35,994000000,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/ande
ANGI,"Angie&#39;s List, Inc.",11.81,707025242.8,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",15.88,584204508.4,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIK,Anika Therapeutics Inc.,46.35,679240246.5,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ANIP,"ANI Pharmaceuticals, Inc.",46.81,545260152.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
ANSS,"ANSYS, Inc.",124.01,10602430390,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ANTH,"Anthera Pharmaceuticals, Inc.",1.7,2134049.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
ANY,Sphere 3D Corp.,0.173,17798378.05,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/any
AOBC,American Outdoor Brands Corporation,22.82,1305304000,n/a,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc
AOSL,Alpha and Omega Semiconductor Limited,18.67,444165517.1,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
APDN,Applied DNA Sciences Inc,1.1649,30696842.55,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdn
APDNW,Applied DNA Sciences Inc,0.24,0,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdnw
APEI,"American Public Education, Inc.",22.9,371757729.8,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
APEN,"Apollo Endosurgery, Inc.",6.7779,72517409.56,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/apen
APLP,"Archrock Partners, L.P.",16.23,1064283678,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/aplp
APOG,"Apogee Enterprises, Inc.",51.86,1492476762,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
APOP,Cellect Biotechnology Ltd.,9.22,7089073.6,768880,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apop
APOPW,Cellect Biotechnology Ltd.,2.32,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apopw
APPF,"AppFolio, Inc.",27.7,937773583.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf
